Year,State,Total
2013,NSW,163.0
2014,NSW,135.6
2015,NSW,118.8
2016,NSW,122.4
2017,NSW,181.7
2018,NSW,247.4
2019,NSW,296.4
2020,NSW,288.4
2021,NSW,299.6
2022,NSW,351.2
2023,NSW,359.6
2013,VIC,36.3
2014,VIC,27.4
2015,VIC,26.8
2016,VIC,30.3
2017,VIC,55.5
2018,VIC,93.6
2019,VIC,112.8
2020,VIC,153.0
2021,VIC,218.5
2022,VIC,201.1
2023,VIC,150.5
2013,QLD,519.6
2014,QLD,389.5
2015,QLD,271.3
2016,QLD,195.9
2017,QLD,245.0
2018,QLD,303.5
2019,QLD,354.0
2020,QLD,408.0
2021,QLD,445.1
2022,QLD,555.3
2023,QLD,589.9
2013,SA,144.7
2014,SA,106.7
2015,SA,57.9
2016,SA,49.4
2017,SA,46.2
2018,SA,76.1
2019,SA,87.1
2020,SA,80.2
2021,SA,106.7
2022,SA,164.8
2023,SA,292.9
2013,WA,1508.2
2014,WA,1045.3
2015,WA,843.7
2016,WA,927.6
2017,WA,1108.7
2018,WA,1318.1
2019,WA,1648.2
2020,WA,1757.5
2021,WA,2351.4
2022,WA,2546.8
2023,WA,2601.2
2013,TAS,37.5
2014,TAS,23.7
2015,TAS,14.4
2016,TAS,13.5
2017,TAS,21.2
2018,TAS,21.5
2019,TAS,16.0
2020,TAS,10.8
2021,TAS,20.9
2022,TAS,40.9
2023,TAS,38.5
2013,Northen Territory,113.3
2014,Northen Territory,108.0
2015,Northen Territory,104.5
2016,Northen Territory,85.6
2017,Northen Territory,91.2
2018,Northen Territory,123.2
2019,Northen Territory,132.7
2020,Northen Territory,110.8
2021,Northen Territory,153.9
2022,Northen Territory,199.9
2023,Northen Territory,228.5
